"Szenario-Variante";"Staatsangehörigkeit (Kategorie)";"Geschlecht";"Altersklasse";"Jahr";"Bevölkerungsstand am 31. Dezember"
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2019";8615846
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2020";8688215
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2021";8761372
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2022";8835055
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2023";8909158
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2024";8983636
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2025";9058337
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2026";9133068
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2027";9207787
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2028";9282395
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2029";9356906
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2030";9430802
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2031";9501974
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2032";9570326
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2033";9635883
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2034";9698634
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2035";9758502
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2036";9815503
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2037";9869668
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2038";9921023
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2039";9969581
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2040";10015412
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2041";10060549
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2042";10105091
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2043";10149020
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2044";10192430
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2045";10235269
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2046";10277529
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2047";10319243
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2048";10360335
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2049";10400834
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2050";10440621
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2051";10479684
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2052";10517977
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2053";10555543
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2054";10592416
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2055";10628712
"Referenzszenario A-00-2020";"Staatsangehörigkeit - Total";"Geschlecht - Total";"Altersklasse - Total";"2056";10664384
