"Jahr";"Kanton";"Staatsangehörigkeit (Kategorie)";"Geschlecht";"Alter";"Bestand am 31. Dezember"
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"Alter - Total";3101817
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"0 Jahre";37618
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"1 Jahr";37352
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"2 Jahre";36363
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"3 Jahre";36175
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"4 Jahre";36929
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"5 Jahre";36716
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"6 Jahre";37657
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"7 Jahre";39374
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"8 Jahre";40792
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"9 Jahre";42776
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"10 Jahre";44887
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"11 Jahre";46339
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"12 Jahre";47481
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"13 Jahre";49426
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"14 Jahre";50530
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"15 Jahre";52272
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"16 Jahre";53704
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"17 Jahre";54258
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"18 Jahre";53237
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"19 Jahre";51765
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"20 Jahre";49630
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"21 Jahre";48057
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"22 Jahre";47210
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"23 Jahre";46777
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"24 Jahre";47032
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"25 Jahre";46703
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"26 Jahre";46359
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"27 Jahre";45733
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"28 Jahre";45899
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"29 Jahre";46767
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"30 Jahre";46658
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"31 Jahre";49454
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"32 Jahre";49856
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"33 Jahre";51494
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"34 Jahre";51801
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"35 Jahre";52597
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"36 Jahre";51415
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"37 Jahre";50982
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"38 Jahre";49587
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"39 Jahre";48125
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"40 Jahre";44999
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"41 Jahre";42410
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"42 Jahre";41727
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"43 Jahre";40955
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"44 Jahre";39972
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"45 Jahre";40279
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"46 Jahre";40291
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"47 Jahre";39641
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"48 Jahre";38483
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"49 Jahre";38088
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"50 Jahre";37238
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"51 Jahre";37322
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"52 Jahre";35845
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"53 Jahre";34774
"1981";"Schweiz";"Staatsangehörigkeit (Kategorie) - Total";"Mann";"54 Jahre";34283
