"Masseinheit";"Leistung";"Geschlecht";"Altersklasse";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020"
"Absolutwert";"Leistung - Total";"Geschlecht - Total";"Altersklasse - Total";62564.98;64242.69;66512.44;69118.03;71429.22;74384.64;77455.23;79643.01;80241.83;82471.86;83310.76
"Absolutwert";"Leistung - Total";"Geschlecht - Total";"0-5 Jahre";1058.29;1081.82;1142.63;1201.47;1233.52;1286.22;1350.12;1397.85;1420.24;1446.21;1459.25
"Absolutwert";"Leistung - Total";"Geschlecht - Total";"6-10 Jahre";741.94;763.72;791.50;833.56;868.77;901.73;958.47;979.50;984.54;1030.28;1005.60
"Absolutwert";"Leistung - Total";"Geschlecht - Total";"11-15 Jahre";1167.69;1176.46;1187.57;1230.13;1274.32;1318.08;1367.32;1306.37;1257.24;1369.17;1574.17
"Absolutwert";"Leistung - Total";"Geschlecht - Total";"16-20 Jahre";1954.38;1966.64;2005.31;2032.15;2120.42;2215.10;2307.30;2400.91;2424.67;2481.64;2612.83
"Absolutwert";"Leistung - Total";"Geschlecht - Total";"21-25 Jahre";1965.46;2010.73;2119.64;2194.06;2259.24;2294.93;2376.53;2405.84;2391.39;2444.17;2404.88
"Absolutwert";"Leistung - Total";"Geschlecht - Total";"26-30 Jahre";2386.50;2439.34;2539.03;2621.64;2722.13;2830.68;2980.35;3097.86;3129.23;3192.41;3177.82
"Absolutwert";"Leistung - Total";"Geschlecht - Total";"31-35 Jahre";2762.71;2824.60;2966.20;3086.39;3215.50;3347.34;3500.12;3668.86;3698.74;3774.03;3849.67
"Absolutwert";"Leistung - Total";"Geschlecht - Total";"36-40 Jahre";3196.90;3164.66;2991.23;3066.49;3123.72;3215.41;3402.90;3637.26;3649.01;3780.84;3777.05
"Absolutwert";"Leistung - Total";"Geschlecht - Total";"41-45 Jahre";3632.71;3605.43;3437.49;3500.44;3522.34;3566.46;3645.10;3770.40;3706.78;3815.93;3794.40
"Absolutwert";"Leistung - Total";"Geschlecht - Total";"46-50 Jahre";3907.87;4014.60;4029.31;4161.51;4226.70;4350.11;4447.58;4692.04;4552.45;4592.17;4412.10
